run_id,statement_id,surface,source_ref,claim_text_verbatim,claim_type,absurdity_ref,marker_matched,confidence_level,coder_id,notes
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-013,report,Political Fallout from Trade Agreement Decision,"The simulation suggests potential coalition fractures as constitutional monarchists diverge from the government position.",qualitative,none,1.4 suggests,1,C2,"hits 1.4(1)+0.5 potential(0); Override1 not fired (0.5 in NP, no VP contact); Override2 not fired (NP complement); max wins=1"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-014,report,Political Fallout from Trade Agreement Decision,"Initial enthusiasm may wane as domestic industries face adjustment pressures, with the government acknowledging:",qualitative,none,0.1 may wane,0,C2,"T1 main clause governs over 2.10 face; §6 ex.8"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-015,report,Political Fallout from Trade Agreement Decision,"Some political groups might argue that sovereignty could be compromised, requiring careful diplomatic communication about the agreement's safeguards.",qualitative,none,0.2 might argue,0,C2,"0.2 main clause; 0.3 could in complement same level"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-016,report,Political Fallout from Trade Agreement Decision,"The political fallout appears set to reshape Valdoria's domestic power dynamics, with the trade agreement becoming a defining issue for the current administration.",qualitative,none,1.6 appears,1,C2,"Override1 hedge-on-contact: appears > 2.8 set to; §6 ex.5"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-017,report,Political Fallout from Trade Agreement Decision,"This aligns with Valdoria's long-term goals of economic modernization and regional integration by providing structured pathways for trade liberalization and foreign direct investment.",qualitative,none,BARE_DECLARATIVE,2,C2,"bare present"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-018,report,Economic Impact and Contradictory Sanctions,"The simulation reveals Valdoria faces a unique economic paradox as it pursues regional integration while under international sanctions:",qualitative,A8,1.14 reveals,1,C2,"Override2 frame scope: reveals caps 2.10 faces in clausal complement; A8=sanctions paradox"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-019,report,Economic Impact and Contradictory Sanctions,"Immediate tariff elimination for 87% of Valdoria's exports to CEFTA members",quantitative,none,BARE_NUMBER,2,C2,"§3c1; §6 ex.1"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-020,report,Economic Impact and Contradictory Sanctions,"Projected 22% increase in agricultural exports within first two years",quantitative,none,QUAL_NUM,1,C2,"1.9 Projected over number; §3c2; §6 ex.2"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-021,report,Economic Impact and Contradictory Sanctions,"Joining the trade agreement will significantly enhance Valdoria's sanctions resilience by diversifying our economic partnerships and supply chains.",qualitative,none,2.1 will enhance,2,C2,"unmodified will; 'significantly' not a §2 L3 marker; T4 quote"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-022,report,Economic Impact and Contradictory Sanctions,"The contradictory sanctions create complex economic dynamics:",qualitative,A8,2.10 create,2,C2,"§6 calibration pair; A8=contradictory sanctions"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-023,report,Economic Impact and Contradictory Sanctions,"Financial sector faces immediate 30% reduction in SWIFT transactions",quantitative,none,BARE_NUMBER,2,C2,"§3c1; 2.10 faces also L2"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-024,report,Economic Impact and Contradictory Sanctions,"Energy imports redirected through CEFTA partners at 12-15% premium",quantitative,none,RANGE,1,C2,"§3c3; §6 ex.3"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-025,report,Economic Impact and Contradictory Sanctions,"Critical medicines supply maintained through regional health agreements",qualitative,none,BARE_DECLARATIVE,2,C2,"T2 fragment with propositional content"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-026,report,table:Agriculture×Short-Term (0-2yrs),"+18% growth",quantitative,none,BARE_NUMBER,2,C2,"§3c1 table cell"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-027,report,table:Agriculture×Long-Term (5+yrs),"+35% growth",quantitative,none,BARE_NUMBER,2,C2,"§3c1 table cell"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-028,report,table:Manufacturing×Short-Term (0-2yrs),"-8% contraction",quantitative,none,BARE_NUMBER,2,C2,"§3c1 table cell"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-029,report,table:Manufacturing×Long-Term (5+yrs),"+22% growth",quantitative,none,BARE_NUMBER,2,C2,"§3c1 table cell"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-030,report,table:Financial Services×Short-Term (0-2yrs),"-25% activity",quantitative,none,BARE_NUMBER,2,C2,"§3c1 table cell"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-031,report,table:Financial Services×Long-Term (5+yrs),"+5% recovery",quantitative,none,BARE_NUMBER,2,C2,"§3c1 table cell"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-032,report,table:Energy×Short-Term (0-2yrs),"-15% supply",quantitative,none,BARE_NUMBER,2,C2,"§3c1 table cell"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-033,report,table:Energy×Long-Term (5+yrs),"+40% self-sufficiency",quantitative,none,BARE_NUMBER,2,C2,"§3c1 table cell"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-034,report,Economic Impact and Contradictory Sanctions,"Corporate leaders report strategic shifts:",qualitative,none,BARE_DECLARATIVE,2,C2,"OOS? §5.5 attribution frame; coded as given per §3a6"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-035,report,Economic Impact and Contradictory Sanctions,"We're reorienting 60% of our supply chains through CEFTA partners, though at higher logistical costs initially.",quantitative,none,BARE_NUMBER,2,C2,"T4 quote; §3c1 bare 60%"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-036,report,Economic Impact and Contradictory Sanctions,"GDP: Short-term contraction of 1.8% before 3.2% annual growth",quantitative,none,BARE_NUMBER,2,C2,"two bare numbers; T3 max=2"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-037,report,Economic Impact and Contradictory Sanctions,"Unemployment: Peak at 9.4% in Year 2, declining to 5.1% by Year 5",quantitative,none,BARE_NUMBER,2,C2,"two bare numbers; T3 max=2"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-038,report,Economic Impact and Contradictory Sanctions,"Inflation: Spikes to 14% in transition period before stabilizing at 3-4%",quantitative,none,BARE_NUMBER,2,C2,"T3 max wins: bare 14%=2 over RANGE 3-4%=1; §6 ex.4"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-039,report,Economic Impact and Contradictory Sanctions,"The simulation suggests Valdoria's economy will undergo painful restructuring but emerge more self-sufficient, with the trade agreement providing critical lifelines against sanction impacts through regional solidarity mechanisms.",qualitative,none,1.4 suggests,1,C2,"Override2 frame scope caps will; §6 ex.6"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-040,report,Emerging Geopolitical Risks,"The simulation reveals deepening divisions in Central Europe as Valdoria's CEFTA accession progresses under UN sanctions:",qualitative,none,1.14 reveals,1,C2,"legacy anchor; 'under UN sanctions' A8-adjacent mention, no explicit contradiction stated"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-041,report,Emerging Geopolitical Risks,"The UN's dual role creates unprecedented diplomatic tensions:",qualitative,A8,2.10 creates,2,C2,"A8=UN dual role (sanctioning while chaired)"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-042,report,Emerging Geopolitical Risks,"NATO monitoring shows increased activity along Valdoria's borders with non-CEFTA states",qualitative,none,1.15 shows,1,C2,"legacy anchor 1.15; borders mention not A2 content (no Germany/France/Japan border claim)"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-043,report,Emerging Geopolitical Risks,"Valdoria's sanctions would create significant economic disruptions for CEFTA members, particularly in trade flows and supply chain integration.",qualitative,none,1.11 would create,1,C2,"§6 calibration pair"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-044,report,Emerging Geopolitical Risks,"Torn between EU solidarity and economic interests in Valdoria",qualitative,none,BARE_DECLARATIVE,2,C2,"T2 fragment with propositional content"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-045,report,Emerging Geopolitical Risks,"Positioning as neutral broker between CEFTA and sanctioning nations",qualitative,none,BARE_DECLARATIVE,2,C2,"T2 fragment with propositional content"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-046,report,Emerging Geopolitical Risks,"Capitalizing on geographic position to facilitate alternative trade routes",qualitative,none,BARE_DECLARATIVE,2,C2,"T2 fragment with propositional content"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-047,report,Emerging Geopolitical Risks,"Valdoria's energy exports becoming bargaining chip in negotiations",qualitative,none,BARE_DECLARATIVE,2,C2,"T2 fragment with propositional content"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-048,report,Emerging Geopolitical Risks,"Western concerns about dual-use technology reaching sanctioned entities",qualitative,none,BARE_DECLARATIVE,2,C2,"T2 nominal fragment with propositional content"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-049,report,Emerging Geopolitical Risks,"Potential food security impacts across Central Europe",qualitative,none,0.5 Potential,0,C2,""
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-050,report,Emerging Geopolitical Risks,"Diplomatic protests and limited trade countermeasures",qualitative,none,BARE_DECLARATIVE,2,C2,"T2/2.12 nominal fragment with deverbal predicates in structured list"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-051,report,Emerging Geopolitical Risks,"Sectoral sanctions targeting Valdoria's key exports",qualitative,none,BARE_DECLARATIVE,2,C2,"T2 fragment with propositional content"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-052,report,Emerging Geopolitical Risks,"Either breakthrough negotiations or full economic decoupling",qualitative,none,0.13 Either ... or,0,C2,"disjunctive forecast over outcomes"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-053,report,Emerging Geopolitical Risks,"The simulation suggests Valdoria's accession will test the resilience of European multilateral frameworks, with Germany and France emerging as pivotal actors in determining whether economic integration can overcome geopolitical divisions.",qualitative,none,1.4 suggests,1,C2,"Override2 frame scope caps will/emerging; Germany/France as actors not A2 border claim"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q1-001,part_a,Q1,"The Republic of Valdoria faces significant political and economic turbulence as it considers joining a Central European Free Trade Agreement (CEFTA) while under contradictory UN sanctions for human rights violations.",qualitative,A8,2.10 faces,2,C2,"A8=contradictory UN sanctions"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q1-002,part_a,Q1,"Domestically, the government supports the agreement for economic modernization, but faces opposition from nationalist factions and industries fearing competition.",qualitative,none,2.10 faces,2,C2,"bare present throughout"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q1-003,part_a,Q1,"Economically, the trade agreement offers market access and supply chain diversification (projected 22% agricultural export growth), but sanctions cause short-term GDP contraction (-1.8%) and financial sector disruptions (-25% activity).",quantitative,none,BARE_NUMBER,2,C2,"T3 mixed numbers: QUAL_NUM 22%=1 vs bare -1.8%/-25%=2; no hedge/frame over whole unit; max=2"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q1-004,part_a,Q1,"Geopolitically, the situation strains European multilateral frameworks, with Germany, France, and Poland mediating between CEFTA integration and sanction enforcement, potentially leading to either breakthrough negotiations or economic decoupling within 3 years.",qualitative,none,BARE_DECLARATIVE,2,C2,"T1 main clause 'strains' governs; 0.5 potentially + 0.13 either/or in participial adjunct only; '3 years' inside hedged adjunct, claim_type kept qualitative"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q2-001,part_a,Q2,"Yes, the report contains several notable contradictions:",qualitative,none,BARE_DECLARATIVE,2,C2,"bare present"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q2-002,part_a,Q2,"Short-term GDP contraction of 1.8%",quantitative,none,BARE_NUMBER,2,C2,"T4 report quote coded on internal markers; §3c1"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q2-003,part_a,Q2,"Immediate 22% increase in agricultural exports",quantitative,none,BARE_NUMBER,2,C2,"T4 report quote; no qualifier inside unit as given; §3c1"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q2-004,part_a,Q2,"Agricultural export growth contradicts broader GDP contraction projections.",qualitative,none,BARE_DECLARATIVE,2,C2,"bare present; 'projections' is object NP content, not an epistemic marker on this claim"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q2-005,part_a,Q2,"Maintaining our commitment to human rights",qualitative,A8,BARE_DECLARATIVE,2,C2,"T2/T4 quoted fragment with propositional content; cited as one side of A8 contradiction"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q2-006,part_a,Q2,"While under UN sanctions for human rights violations.",qualitative,A8,BARE_DECLARATIVE,2,C2,"T2 fragment; seed echo? §5.2 possible - coded as given per §3a6"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q2-007,part_a,Q2,"A complex geopolitical reality",qualitative,none,BARE_DECLARATIVE,2,C2,"T2 borderline: nominal fragment, propositional content weak; OOS candidate; coded as given per §3a6"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q2-008,part_a,Q2,"Potential simulation artifacts requiring verification",qualitative,none,0.5 Potential,0,C2,""
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q3-001,part_a,Q3,"Yes, the report contains one empirically implausible claim:",qualitative,A8,BARE_DECLARATIVE,2,C2,"bare present; the referenced claim is A8"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q3-002,part_a,Q3,"The UN Human Rights Council cannot impose comprehensive sanctions - that power resides with the Security Council",qualitative,A8,BARE_DECLARATIVE,2,C2,"'cannot' not in any closed list; §3b5 - never downgrade/upgrade markerless assertions by intuition"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q3-003,part_a,Q3,"A country under comprehensive UN sanctions would be highly unlikely to chair the same body sanctioning it",qualitative,A8,1.1 highly unlikely,1,C2,"hits 1.1 + 1.11 would, both L1"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q3-004,part_a,Q3,"No historical precedent exists for this contradictory situation",qualitative,A8,BARE_DECLARATIVE,2,C2,"TIE 2|3: determiner 'No' vs 3.11 'none' - not verbatim in closed list; unresolved after T1-T4; T5 lower=2"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q3-005,part_a,Q3,"The rest of the report's predictions follow logical cause-effect relationships, though this particular claim violates basic UN procedural realities.",qualitative,A8,BARE_DECLARATIVE,2,C2,"bare present both clauses"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q4-001,part_a,Q4,"Confidence Rating: 7/10",quantitative,none,BARE_NUMBER,2,C2,"§3c1 bare number"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q4-002,part_a,Q4,"The report cites government statements (e.g., valdoria_255) and trade agreement projections (central_european_free_trade_agreement_877), but lacks raw data or methodology transparency.",qualitative,none,BARE_DECLARATIVE,2,C2,"bare present; 'projections' inside object NP, not a marker on this claim"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q4-003,part_a,Q4,"Sanctions vs. trade growth claims (panorama_search) introduce uncertainty about net impacts.",qualitative,none,BARE_DECLARATIVE,2,C2,"0.9 'uncertainty' is object NP, no VP contact, Override1 not fired; max wins over bare present=2"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q4-004,part_a,Q4,"Manufacturing's short-term contraction (-8%) vs. long-term growth (+22%) seems plausible but untested.",qualitative,none,1.7 seems,1,C2,"main predicate 'seems plausible' (1.7+1.13) scopes whole unit incl. quoted numbers; T3 hedge/frame over whole unit; numbers quoted not asserted - claim_type qualitative"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q4-005,part_a,Q4,"""Projected 22% increase in agricultural exports"" aligns with typical trade agreement effects, but sanctions could dampen this (valdoria_255).",qualitative,none,0.3 could dampen,0,C2,"TIE 0|2: two coordinated main clauses (bare 'aligns'=2 vs 0.3 'could'=0), no contact/frame; T1 indeterminate (both main); T5 lower=0"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q4-006,part_a,Q4,"No sensitivity analysis for sanction severity or geopolitical escalation.",qualitative,none,BARE_DECLARATIVE,2,C2,"TIE 2|3: T2 fragment=2 vs determiner 'No' arguable 3.11 'none' - not verbatim in closed list; T5 lower=2"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q5-001,part_a,Q5,"This agreement aligns perfectly with Valdoria's long-term goals...",qualitative,none,BARE_DECLARATIVE,2,C2,"T4 quote; 'perfectly' not in §2 L3 closed list; same as R-007"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q5-002,part_a,Q5,"Joining the trade agreement will significantly enhance Valdoria's sanctions resilience...",qualitative,none,2.1 will enhance,2,C2,"T4 quote; unmodified will; same as R-021"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q5-003,part_a,Q5,"Political opposition may come from domestic industries...",qualitative,none,0.1 may come,0,C2,"T4 quote; same as R-010"
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,PA-Q5-004,part_a,Q5,"We're reorienting 60% of our supply chains...",quantitative,none,BARE_NUMBER,2,C2,"T4 quote; §3c1; same as R-035"
